description,text,rating
"Production Technician (Current Employee) - Tipton, IN - December 27, 2022",If you work hard and show up then you will thrive. Schedule can be rough but they tell you that from the beginning. They need to come up with standardized pay/raises. Doesn’t seem to fair that employees that have been there for years are making less then someone that walks in off the street. Not a bad job. Pto is a plus.,4.0
"Forklift Operator/Warehouse (Current Employee) - Kampton pack - December 13, 2022",I enjoy working at the company as i was gaining lot of experience and help than doing production and getting more customs and they also get more profit,4.0
"Data analyst (Former Employee) - Johnston, IA - December 13, 2022",It was a good place to work while I was there. I was able to gain exposure to a lot of experience and life lessons. Working for a big company has helped me.,2.0
"Student Research Assistant (Former Employee) - Lethbridge, AB - December 8, 2022","While I worked here I found management very understanding, they did their best to provide me with the tools to succeed and I was able to gain experience which I will continue to use for the rest of my career. At the time of my employment there was no opportunity for advancement otherwise I never would have left. I was originally hire as a summer research student for one season but ended up staying for four years. During this time I fell chronically ill. I was never blamed or yelled at and felt very supported. I felt that any action taken to reduce my pay was fair given my illness at the time. In the instance of disagreements between staff members management was quick to intervene in a productive and positive way. I would work here again.",4.0
"Production Worker (Former Employee) - Durant, IA - December 2, 2022","Durant Iowa
If your someone with a high work ethic stay away! This place was full of people who didn't like seeing others succeed. The management team was hardly on the shop floor and would listen to the opinions of people who did not have your best interest in their thoughts. The people who are there currently sit back and let things hit the wall. If you are of a minority background it's 10x worse. I have seen them (Full timers) make the hispanic members broom and clean everything while they sit around and do nothing.",2.0
"Agile Scrum Master (Current Employee) - Des Moines, IA - November 22, 2022",Corteva is in the process of transforming their IT department. Lots of changes in both processes and team structure. Currently in the process of transitioning to SAFe.,3.0
"Territory Sales Manager (Current Employee) - Sahiwal - October 28, 2022","workig at Corteva Agriscience has always been fun. New challenges, brainstorming to cope up with these challenges, encouraging people to come up with new ideas to serve the customer in a better way, keeping end user at the core.",5.0
"Field and Sales Agronomist (Current Employee) - Kwara state - October 26, 2022","Corteva Agriscience has helped me become knowledgeable in the field of agriculture. My job role has made me known places and I meet big shuts in the agricultural sector on daily bases.
It’s a good place to be for development and growth.",4.0
"Agricultural Technician (Former Employee) - Salinas Municipio, PR - October 17, 2022","What is the best part of working at the company?
Fast hiring

What is the most stressful part about working at the company?
Unrealistic work expectations, questionable safety regulations

What is the work environment and culture like at the company?
Most people working there just need money not many are in it for the company or its values

What is a typical day like for you at the company?
Clock in at 5 am, stand in a room sorting and sampling seeds or cutting leaves in a greenroom. One unpaid 1 hour break, no cafeteria. Work ends at about 2-3 pm",1.0
"Project Manager (Current Employee) - Iowa - October 13, 2022","Lots of changes and role clarity needed but the people are great, very good personal development and learning opportunities
Flexible hours, WFH Mondays and Fridays",4.0
"Senior Engineer (Current Employee) - Michigan - October 8, 2022","A very traditional chemistry company.

Most colleagues are nice and knowledgeable and easy to work with. Some coworkers don't give you credit. Work could be overloaded from time to time depending on project advancement.

Poor management. Some people leaders do not understand meaning of your work because you're a contributor to a big project. They only care about people who make direct dollar value.",3.0
"Area Supervisor (Former Employee) - Lethbridge, AB - October 7, 2022","Terrible management, everyone is unhappy, and the safety guy will write you up for the smallest things. Don’t even consider working here, it’s not worth it.",1.0
"General Laborer (Former Employee) - Jackson, MN - October 7, 2022","The company has good direction and an excellent product and pipeline. Innovation and a strong history with loyal customers are the strength of Corteva. Local managers have their ineptitude and small-town thinking overshadowed by the success of the overall company. As long as the plants make their numbers (which is almost impossible not to do) the management can continue their practices of poor communication, nepotism, and overall failing upward.",3.0
"Research Officer (Current Employee) - Guntur, Andhra Pradesh - October 1, 2022",Very good and highly recommended for the person to have bright future and career and you have opportunities in this organisation to express your talents and supports your skills always.,5.0
"Production Technician (Current Employee) - Woodland, CA - September 29, 2022",The people that I work with make it easy for you to accomplish whatever task management as for you everything is set for you for the day if anything happens the team all the employees help you out to accomplish whatever is needed from you,5.0
"Production Technician (Current Employee) - Woodland, CA - September 29, 2022",I love my job the people I work with are great they know what they're doing and they help out so much management is great the people I work with are very understanding so as management the site in Woodland is small which makes it better for the workers you work as a team and support each other whichever is needed,5.0
"Specialist (Former Employee) - Lethbridge, AB - September 25, 2022",Amazing culture amazing training amazing safety amazing supervisors amazing benefits. Great great place to work just was a little shy on the compensation which is why I moved on.,5.0
"Lab Technician (Current Employee) - Indianapolis, IN - September 17, 2022",There is no career advancement under the new HR policies. R&D has a huge workload to accomplish with few people. Hiring will help but training will take a long time.,2.0
"Production Technician (Current Employee) - Tipton, IN - September 14, 2022","Good place to work. Wish I lived closer for less travel. They will keep you busy, and focus on safety is high. People are hand picked, so come ready to learn, be safe, respect for others is mandatory.",5.0
"Lab Technician (Current Employee) - Johnston, IA - September 9, 2022","The job is not difficult or strenuous though repetitive, but management is focused on ergonomics and reducing stress on the body so you are comfortable while working. Training is provided and at time the work is fast paced. Easy to request time off and work is 7-3:30pm but hours may be shorter based on fast the work is done.",5.0
"Reliability Engineer (Current Employee) - Pittsburg, CA - September 1, 2022",Great people and interesting work. A place where it's what you make of it. Top management doesn't provide good direction. This is fine but it creates messy work processes. Pay is ok but stable.,4.0
"Production Technician (Current Employee) - Tipton, IN - December 27, 2022",If you work hard and show up then you will thrive. Schedule can be rough but they tell you that from the beginning. They need to come up with standardized pay/raises. Doesn’t seem to fair that employees that have been there for years are making less then someone that walks in off the street. Not a bad job. Pto is a plus.,4.0
"Field Research Assistant (Former Employee) - Donna, TX - August 31, 2022","Supervisor/manager is a truly great person and the employees all respect one another. Company buys snacks,drinks(soda), and bottled water for everyone. Best place I've ever worked.!",5.0
"Operator (Current Employee) - Valdosta, GA - August 30, 2022",Overall good place to work. Schedule can be hectic but plenty of room to get overtime and make more money. Management is flexible with time off and plenty of paid leave,5.0
"Accounts Payable Specialist (Current Employee) - Hyderabad, Telangana - August 27, 2022","Company is good, but the management doing some politics on employee recognition and promotions.

Pros:
Work life balance
Transport free
Cafetaria
Yearly bonus

Cons:
Management
Lazy at competition
Appraisals, recognition and rewards
Late promotions",4.0
"N/A (Former Employee) - Kokomo, IN - August 24, 2022",Constant rotating schedule which is hard if you can't work certain shifts . Supervisors think they're better than everyone else. Pay could be a little better. Little forklift training.,3.0
"Software Engineer (Current Employee) - Remote - August 19, 2022",Corteva is an engaging place to work with important challenges to solve in agriculture. The company offers flexible work arrangements and good work life balance. Company reorganizations are common so be aware of that.,4.0
"Anonymous (Current Employee) - Anonymous - August 14, 2022","Great for awhile. A lot of organization changes last few years, with layoffs always looming. Leadership so far from the day-to-day they don’t understand or care about issues. Also Told us we could choose 100% remote, hybrid or 100% in office. After 90 days decided we need to come in 3 days.
Co-workers are amazing, but between looming layoffs, company disorganization and requirement to come in, the organization is losing its luster.",2.0
"Safety Officer (Former Employee) - Pretoria, Gauteng - August 12, 2022","I have been supported from day one until I could perform my duties with less or mo supervision. There are a number of job advancement opportunities ablnd the only obstacle could be poor management or nepotism. In most cases, employees are not treated fairly especially around benefits, salary recommendations are influenced by race.",5.0
"Production Technician (Current Employee) - Jackson, MN - August 11, 2022",Overall a great place to work. Great benefits and there are opportunities to advance if you put in the effort. Great shift differential for off shifts,4.0
"Production Worker (Current Employee) - Homedale, ID - August 5, 2022",Good place to work if you like working with alfalfa seed. Great people and good wages. Good management benefits are also great. 8 hr. days for the most part. Loud working environment.,4.0
"Production Technician (Current Employee) - Woodhull, IL - July 21, 2022",this place of work is not terrible as long as you can deal with the frequent rotating shifts. You might as well not talk to management because they will say they will help but never end up doing so,4.0
"Production Worker (Current Employee) - Hedrick, IA - July 19, 2022","Constant job openings due to people quitting and the high ups in Johnston and Indianapolis cannot figure out that people leave due to management not the work. If every person a supervisor hires quits, it would seem Corteva upper management would start examining in depth. Would not recommend. If you report something, they will retaliate.",2.0
"Field Research Intern (Former Employee) - Dallas Center, IA - July 13, 2022","As a Field Research Intern at the former Dallas Center research facility. I had the pleasure of working with some very kind and qualified people. I always had tasks delegated to me when needed, and then let me complete my work without hovering oversight.",5.0
"Shift Leader (Current Employee) - Pittsburg, CA - July 2, 2022",The operators a work 4 on / 4off schedule. It’s required to be on unpaid on-call 2 days of your 4 days off. There is no double time pay for working a 7th day.,4.0
"Production Worker (Former Employee) - Hawaii - July 1, 2022","Good workers, Bad management. Managers look out for themselves not for the workers. Safety is usually important but managers tend to not follow the rules but quick to fire others that do not follow rules.",3.0
"Analyst (Current Employee) - Singapore - June 26, 2022","Leadership needs to focus, commit, and be more visible to the organization. Much opportunities lie ahead for Corteva if only we'd take advantage of them. The Asia organization seems passive and lifeless now.",4.0
"Marketing Specialist (Current Employee) - Indianapolis, IN - June 25, 2022","For those of us who worked through the merger, we had hope that things would be better. But they are not. The benefits are worse than what we had a Dow. The new CEO is making all kinds of changes that are only meant to appease stockholders. A lot of good people (including leaders) have left. Everyone is stressed out. Morale is low. Female leaders at all levels are devalued and being pushed out. Work-life balance is good for most people. Middle management is not great. Everyone is just waiting for more changes and everyone is on edge.",3.0
"Security (Former Employee) - Indianapolis, IN - June 19, 2022",Very ehh. You can't expect to go anywhere and the job is incredibly boring. No real sense of purpose in anything you do. Most rewarding thing was listening to podcasts on the clock.,3.0
"Senior Process Technician (Current Employee) - Pittsburgh, CA - May 25, 2022",Not happy with working at Corteva at all. It's the norm to learn things after the fact instead of up front. No one really knows what they are are doing except for a few employees. Communication is terrible at best. The pay is decent when it's accurate which is rare.,2.0
"Production Operator (Current Employee) - Aurelia, IA - May 25, 2022","This is a good place to work overall. However, you are required to rotate shifts without exception. This is very difficult if you have children/family.",3.0
"Corn conditioning tech (Former Employee) - Hedrick, IA - May 9, 2022","The company itself is great with benefits and pay, but the hedrick location has some of the worst managers I have ever worked with in 15 years across multiple states and industries. Expect to get thrown under the bus, set up for failure, and blatant favoritism. A lot of the managers here are former Pella Windows washouts who have no clue how to run a seed plant. They talk down to operators with 30+ years of experience, they pit employees against each other, and will do whatever it takes to make themselves look good. Unless you have no other choice, I wouldn't work here.",2.0
"Production Technician (Current Employee) - Tipton, IN - December 27, 2022",If you work hard and show up then you will thrive. Schedule can be rough but they tell you that from the beginning. They need to come up with standardized pay/raises. Doesn’t seem to fair that employees that have been there for years are making less then someone that walks in off the street. Not a bad job. Pto is a plus.,4.0
"Project Leader (Former Employee) - Indianapolis, IN - April 25, 2022","Dow Chemical is a great company to work for, unfortunately they gave up Ag business in 2017 and DuPont folks took over the heritage business. This was sad. The cultures are so different between those two chemical giants, and DuPont management took away all the good benefits together with morale within R&D. The compensation is not competitive any more, and top talents attrition rate keeps climbing up. The career advancement for most PhDs is nonexistent, but they are trapped because age companies are still rare.",3.0
"Production Technician (Former Employee) - Princeton, IL - April 19, 2022","I would not recommend this employer to anyone. The management is terrible. Only some employees never have to work 2nd or 3rd shift. Supervisors and Leads have their favorites. More knowledge and experience usually lead to more pay, but not at Corteva. It means you have more responsibility without the extra pay. Management looks at everyone as replaceable while all of the skillful employees are leaving. The only way to move up is to be a yes man and let management use you as a doormat. If you aren't in the click, forget it. Management stinks at communicating with all employees, schedule is always changing, as well as your shift with little notice...Training stinks as there is none...there's a reason why this company has a huge turnover but pays well. Don’t fall for the misleading culture/family environment because they don’t care about you. Would have retired here but they made it difficult to even want to come to work. Their thought process is exhausting, and they have no common sense. If you don’t want a life and can be a puppet, then this job is for you. The only good thing was vacation, but they control how you use it. Micromanaged at its finest. Safety is shoved down your throat but rarely swallowed. Winters are cold and summers are hot. Some great people to work with and you can have fun at times. If you never miss time, be obedient, kiss a little bum, never speak up for yourself, and follow the rules without question you will do very well here.",2.0
"Forklift Operator (Former Employee) - Tipton, IN - April 15, 2022","If you are through an agency you will never get hired but they say you will. They always say keep up the good work it helps your matrix score but when you work at a place that has a buddy system it really doesn't matter. That place is a joke, even the full timers say so.",1.0
"Student Research Assistant (Former Employee) - Georgetown, ON - April 5, 2022","Very very very repetitive work. Not much wet lab stuff just sampling
Filling harvesting seeds nothing much else to do. Mostly canola work. You can listen to music or books which is cool. That’s the most of it not much to say though",3.0
"Field Technician (Former Employee) - Connell, WA - April 2, 2022","Inept and unqualified manager. And guess who gets hired as other managers when the top has poor leadership skills? Poor under management. Insecure shallow people that look out for themselves. The red tape and 'safety' culture makes it very stressful to work there. There should be more perks to stay there, but there isn't. Underpaid, under appreciated.",1.0
"Lab Technician (Former Employee) - Indianapolis, IN - March 25, 2022",Great place to learn a lot of new things with a good work life balance. All of the people at my location are very friendly which makes it easy to ask questions. Advancement opportunities can be hard to come by though if you do not have a masters or PhD.,5.0
"Research Associate (Former Employee) - Johnston, IA - March 24, 2022","I worked for 4 different groups while at Corteva (Pioneer) and each had a different dynamic and culture. Some groups have a culture of working overtime everyday, some have low moral due to the hourly employees doing all the work while salaried employees bark orders, and then there are other groups where it is cohesive and fun. If you have a good manager, you'll succeed. But don't expect your job to be safe.",4.0
"Assistant Manager (Improvements, Invoice Processing and Payments) (Former Employee) - Hyderabad, Telangana - March 20, 2022","Amazing company to work with, lots of learning and great support from the management. Also, take at most care of employees and provided complete support during",5.0
"Senior Technician (Current Employee) - Indianapolis, IN - February 25, 2022","Corteva is an amazing company. They're flexible, inclusive, driven, and loyal. These are the things that keep me here. The benefits are decent and we even have an employee stock purchase program. The only downfall to this company is the pay. Compared to other scientific companies, we're not paid very well. You'll only be paid well if you have a PhD or if you're in leadership. I have a master's degree and I'm making under 62K/year. It's worth it if you can make sacrifices.",5.0
"Production Technician (Former Employee) - Princeton, IL - February 22, 2022","Lots of good people to work with and several things to learn, get to be outside in the summer. Aside from shift work half the year it’s a solid place to work. I’d do it again",4.0
"Sourcing Manager (Current Employee) - Hyderabad - February 18, 2022",Work culture is excellent. Company is very strict about their core values. Safety is most priority. Every individual get respect irrespective of job roles.,5.0
"Technician (Former Employee) - Woodhull, IL - February 14, 2022",Good company just don't like the rotating shifts. Management was good. For the holidays we had company lunch. The work is easy but half of the time of being there I was sweeping,4.0
"N/A (Current Employee) - Pittsburg, CA - February 10, 2022","Company focuses on operations and engineering and furthering their careers, but outside of those roles it's easy to get stuck in a job with no clear advancement or promotions.",4.0
"Production Technician (Former Employee) - Aurelia, IA - February 3, 2022","I would not recommend this employer to anyone. The management is terrible and they treat their agency workers as expendable. Only some employees never have to work 2nd or 3rd shift. If you miss time for being sick they will withhold training, raises, and bonuses.",1.0
"Production Technician (Current Employee) - Three Rivers, MI - January 30, 2022","More knowledge and experience usually lead to more pay, but not for Corteva. It means you have more responsibility without the extra pay. Management looks at everyone as replaceable while all of the skillful employees are leaving. Don’t fall for the misleading culture/family environment because they don’t care about you.",1.0
"Research Associate (Former Employee) - Johnston, IA - January 12, 2022","The company strives to have a good culture and great work life balance but the differences in jobs from say HR to Field Research dictate the reality of those ideas. Ability to move upward in Research in almost non existent or requires geographical relocations. Pay and benefits are on the better side if you can keep your job. In 10 years of employment, employees were laid off over half of that time.",4.0
"Field Assistant (Former Employee) - Salinas, PR - January 10, 2022","Excellent Company, Good Management, Strong Culture Work, Good Benefits, Excellent Parnerts, Great Supervisors, A Safety Place, Good Knowledge of the industry",4.0
"Production Technician (Former Employee) - York - January 3, 2022",Has some fairly decent benefits but management is difficult to work with and does not have best interest of employees at heart. They aren't family oriented but it's one of the highest paying job in the area.,3.0
"Research Associate (Former Employee) - Illinois - December 21, 2021",Excellent place to work with great opportunities for advancement. Benefits are good and managers seem to care about how you are doing and invest in your development,4.0
"Corn Detasseler (Former Employee) - Olivia, MN - December 18, 2021","Got excepted by so many people being there and we all worked together well, great team. Work was always exciting, different everyday out in the fields",5.0
"Production Technician (Current Employee) - Tipton, IN - December 27, 2022",If you work hard and show up then you will thrive. Schedule can be rough but they tell you that from the beginning. They need to come up with standardized pay/raises. Doesn’t seem to fair that employees that have been there for years are making less then someone that walks in off the street. Not a bad job. Pto is a plus.,4.0
"Industrial Electrician (Former Employee) - Cherokee, IA - November 19, 2021","Be prepared for your schedule to change 3-4 times a year, weather it is to accommodate others on vacation or just the typical rotation. I felt like Just as soon as I got used to one schedule it would change. Never trust anyone either, there is always a few that will do anything to advance their career and run to the office with all the “news”.",1.0
"Software Engineer (Current Employee) - Johnston, IA - November 10, 2021","Overall summary: the org is complex and very political, with fairly substantial and lingering acquisition / spin off issues, IT is run pretty ""old school,"" and role clarity / role responsibilities are fuzzy.",2.0
"Production Technician (Former Employee) - Durant, IA - October 31, 2021",The new management ruined this place. Would of retired here but they made it difficult to want to even come to work. Their thought process is exhausting and they have no common sense. If you don’t want a life and can be a puppet then this job is for you. The only good thing was vacation but they control how you use it. Micromanaged at its finest. There’s plenty of jobs out there don’t waste your time here.,1.0
"FSRE Lead (Former Employee) - Pakistan - October 28, 2021","This was my worst experience. HR and management instead of training people try to find faults and shortcomings of the employees and falsely report to the management abroad. That resulted unfair terminations, high rate of turn over.

I have 10+ years of experience with oil & gas and global telecom giants but they made me feel worthless through their biased behaviour. Worst HR worst management. Dirty culture very toxic. They spevially HR make people sick",2.0
"Supply Chain Manager (Current Employee) - Woodland, CA - October 26, 2021",I do not know where I would be without Corteva and their great management team. They truly care about employees and do all they can to ensure the employees are treated fairly and as individuals.,5.0
"Genome Editing Intern (Former Employee) - Johnston, IA - October 24, 2021","Long work days for interns, but so many opportunities to learn and meet people. Interns were treated with respect and were given more accomodations than I had expected. Exceptional summer program!",5.0
"Production Worker (Former Employee) - Woodhull, IL - October 20, 2021",You gotta know someone or fit in to get hired full-time. Otherwise you will stay a temp. And roating shifts suck. The work is easy tho. 1but you will get treated diff as a temp.,2.0
"Data Engineer (Current Employee) - Johnston, IA - October 15, 2021",I love working here. Amazing benefits and competitive base pay for a midwest company. Management is great. Compensation is fair for the location. The retirement package is very good.,5.0
"Production Technician (Current Employee) - Wahpeton, ND - October 13, 2021","As with most jobs in this category, it's the people you work with. Management is reasonable. Compensation is fair for the value you're providing to the world. Benefits are generally good with a fantastic retirement package. Overall, a good production job.",4.0
"Software Engineer II (Current Employee) - Johnston, IA - September 27, 2021",Just started with the company and jury is still out. Lots of changes and we still are not in the building yet. I would be prepared to not know what is going on as communication is lacking.,3.0
"General Worker (Casual) (Former Employee) - Vrystaat - September 19, 2021","The company Is a good one to work for but they underpayment people specially contact workers, the don't have a culture of growing they own stuff they hire other people . They should start investing in they stuffs education promote workers , pay contractors a better wages cost of living Is high and they should hire people permanently.",3.0
"Contractor (Former Employee) - Indianapolis, IN - September 14, 2021","Not a good company for contractors, they can fire without any notice even if you are good at work for several months. Looks like company is lacking something.",1.0
"Research Intern (Former Employee) - Johnston, IA - September 3, 2021","Interned at a Corteva site in Johnston, IA. Everyone was easy to talk to and most had a laid back attitude on the job (while still getting work done). Lots of opportunities to network in-person or through virtual seminars.",5.0
"Production Technician (Former Employee) - Johnston, IA - September 2, 2021",The work/home balance is awesome even for people just starting out with the company. You would have to work a decade or two to have the same amount of paid time off at a different production facility. Too many benefits to mention. Low stress environment with clear goals in mind. Safety is number one. Going home the same way you came in is always a good thing. The pay is pretty decent and yearly production bonuses are common. It is NOT the perfect place to work as there is always room for improvement and what works for one may not always be best for others. But is pretty close.,5.0
"Research Assistant (Co-op) (Former Employee) - Caledon, ON - September 1, 2021","A long and slow coop term mixed with constant blame, micromanagement, learning nothing and being treated poorly by supervisors and management. Work itself is easy but very repetitive. You will walk away knowing how to transfer one thing to another thing.",2.0
"Soybean Lab Technician (Current Employee) - Johnston, IA - August 28, 2021","This contract position is a great way to gain hands on skills. It’s hard work but everyone is pretty nice and the managers are great about letting you take time off. There is upward mobility but it’s limited by competition. Contractors start at $14 an hour, the next potion you can advance to is research assistant, where you work directly for the company and make $19 an hour. Since contractors don’t work directly for Corteva we don’t get paid time off, but there is health and dental insurance. The labor (cross pollinating, transplanting, harvesting soybeans etc,) can be hard on your body, but at least the company takes ergonomics very seriously. It’s one of the things I like the most about working for Corteva; if you tell someone a task is hurting your body they really care and help find solutions. There is very little opportunity for overtime, and during a slow we’ll they’ll cut contractors hours by a few day. This happens usually once a month. I enjoyed the extra days off, but for someone in a tight financial situation losing hours could be stressful",4.0
